Simulation results (a),,Simulation results (b),,Simulation results (c),,Formula prediction,
Radial distance (m),A-weighted SPL (db),Radial distance (m),A-weighted SPL (db),Radial distance (m),A-weighted SPL (db),Radial distance (m),A-weighted SPL (db)
35.71341,68.93586,41.77289,57.6,,,34.97981,60.45229
36.10544,60.70381,41.77289,63.15435,,,34.99708,60.44735
36.28685,60.9153,41.77289,62.80674,,,35.29379,60.36293
40.81202,59.67599,41.77289,63.14181,,,35.43592,60.32274
41.56608,62.26295,42.00846,62.96311,,,35.61111,60.27342
41.77289,63.34926,42.26075,56.5,,,35.69797,60.24906
41.77289,63.60499,42.36843,63.27454,,,36.15628,60.12149
41.77289,63.75696,42.37084,62.3903,,,40.81332,58.90992
41.79177,62.05682,42.76097,57.328,,,40.81332,58.90992
42.33975,62.97961,44.18329,60.10959,,,40.81353,58.90986
42.47087,63.66247,,,,,41.64893,58.70724
42.75996,62.69588,,,,,41.67148,58.70183
42.78726,57.36867,,,,,41.77289,58.67752
43.45875,64.23476,,,,,41.77289,58.67752
44.23607,59.23739,,,,,41.77289,58.67752
,,,,,,41.77289,58.67752
,,,,,,42.00846,58.62129
,,,,,,42.26075,58.56141
,,,,,,42.36843,58.53597
,,,,,,42.37084,58.5354
,,,,,,42.76097,58.44374
,,,,,,43.31298,58.31548
,,,,,,43.4552,58.28269
,,,,,,44.18329,58.11653
,,,,,,44.21285,58.10984
